sic,sic_desc,license_code,license_class,tax_type,naics_code,naics_desc
211,STOCK YARDS,LGB,6,,112112,CATTLE FEEDLOTS
254,HATCHERY,LGB,6,,112340,POULTRY HATCHERIES
291,LIVE STOCK,LGB,6,,112990,ALL OTHER ANIMAL PRODUCTION
742,ANIMAL HOSPITAL,LGB,5,,541940,VETERINARY SERVICES
752,ANIMAL SHELTER AND/OR GROOMING,LGB,5,,812910,PET CARE(EXCEPT VETERINARY) SERVICES
781,HORTICULTURISTS (GROOM PLANTS),LGB,5,,541690,OTHER SCIENTIFIC & TECHNICAL CONSULTING SERVICES
782,LANDSCAPE/CULTIVATING SVCS,LGB,5,,561730,LANDSCAPING SERVICES
783,TREE SURGERY,LGB,5,,561730,LANDSCAPING SERVICES
912,FISHERIES,LGB,5,,114111,FINFISH FISHING
1411,"GRANITE, CUT AND SHAPED",LGB,6,,212311,DIMENSION STONE MINING & QUARRYING
1423,"GRANITE QUARRYING,CRUSH/BROKEN",LGB,6,,212313,CRUSHED & BROKEN GRANITE MINING & QUARRYING
1521,CONTRACTOR-BLDG CONSTRUCTION,LGB,3,,236115,NEW SNGLE-FAMILY HOUSNG CONSTRUCTN(EXCPT OPE BLDR)
1522,CONTRACTOR-RESIDENTIAL,LGB,3,,236116,NEW MULTIFAMILY HOUSING CONSTRUCTN(EXCPT OPE BLDR)
1611,"CONTRACTOR,OTHER THAN BUILDING",LGB,4,,237310,"HIGHWAY, STREET & BRIDGE CONSTRUCTION"
1629,CONTRACTOR-HEAVY CONSTRUCTION,LGB,4,,237990,OTHER HEAVY & CIVIL ENGINEERING CONSTRUCTION
1711,CONTRACTOR-HEATING/AIR COND,LGB,4,,238220,"PLUMBING,HEATING & AIR CONDITIONING CONTRACTORS"
1712,"CONTRACTOR, SPECIAL TRADE",LGB,4,,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS
1713,CONTRACTOR-PLUMBING,LGB,4,,238220,"PLUMBING,HEATING & AIR CONDITIONING CONTRACTORS"
1721,CONTRACTOR-PAINT/PAPER HANGING,LGB,4,,238320,PAINT & WALL COVERING CONTRACTORS
1731,BURGLAR ALARM (INSTALL ONLY),LGB,4,,238210,ELECTRICAL CONTRACTORS
1732,CONTRACTOR-ELECTRICAL,LGB,4,,238210,ELECTRICAL CONTRACTORS
1742,CONTRACTOR-INSULATION/PLASTER,LGB,4,,238310,DRYWALL & INSULATION CONTRACTORS
1743,CONTRACTOR-MASON/MANTEL WORK,LGB,4,,238340,TILE & TERRAZZO CONTRACTORS
1752,CONTRACTOR-CARPET LAYERS/FLOOR,LGB,4,,238330,FLOORING CONTRACTORS
1771,CONTRACTOR-CONCRETE WORK,LGB,4,,238110,POURED CONCRETE FOUNDATION & STRUCTURE CONTRCTRS
1795,WRECKING BUILDINGS,LGB,4,,238910,SITE PREPARATION CONTRACTORS
1799,HOUSE MOVER & WRECKER,LGB,4,,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS
2011,"PACKING HOUSE,COLD STORAGE",LGB,5,,311611,ANIMAL (EXCEPT POULTRY) SLAUGHTERING
2022,"CHEESE, MFG/PROCESSOR",LGB,5,,311513,CHEESE MANUFACTURING
2024,ICE CREAM MANUFACTURER,LGB,5,,311520,ICE CREAM & FROZEN DESSERT MANUFACTURING
2026,BOTTLERS-MILK W/FLAVORED SYRUP,LGB,5,,311511,FLUID MILK MANUFACTURING
2032,"FOOD MANUFACTURER, CANNED",LGB,5,,311422,SPECIALTY CANNING
2041,"MILLS, FLOUR/SOYBEANS",LGB,5,,311211,FLOUR MILLING
2048,"STOCK POWDERS, MANUFACTURERS",LGB,5,,311119,OTHER ANIMAL FOOD MANUFACTURING
2051,"BAKERY, WHOLESALE/RETAIL",LGB,5,,311812,COMMERCIAL BAKERY
2077,"TALLOW, MANUFACTURERS",LGB,5,,311613,RENDERING & MEAT BYPRODUCT PROCESSING
2086,BOTTLERS-SOFT DRINKS,LGB,5,,312111,SOFT DRINK MANUFACTURING
2097,"ICE, MANUFACTURERS",LGB,5,,312113,ICE MANUFACTURING
2099,FOOD PREPARATIONS-MISC,LGB,5,,311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING
2111,TABACCO MANUFACTURER,LGB,6,,312221,CIGARETTE MANUFACTURING
2121,"CIGARS, MANUFACTURERS OF",LGB,6,,312229,OTHER TOBACCO PRODUCT MANUFACTURING
2211,"TEXTILE MILL PRODUCTS,MFG",LGB,4,,313210,BROADWOVEN FABRIC MILLS
2251,HOSIERY MILLS,LGB,4,,315111,SHEER HOSIERY MILLS
2281,KNITTING MILLS,LGB,4,,313111,YARN SPINNING MILLS
2283,WOOLEN MILLS,LGB,4,,313112,"YARN TEXTURIZING, THROWING & TWISTING MILLS"
2284,COTTON MILLS,LGB,4,,313113,THREAD MILLS
2299,TEXTILE GOODS MANUFACTURER,LGB,4,,314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCTS MILLS
2311,APPAREL & FINISHED FABRIC PROD,LGB,5,,315222,"MEN'S & BOYS' CUT & SEW SUIT,COAT & OVERCOAT MANUF"
2321,SHIRTS MANUFACTURERS,LGB,5,,315223,MEN'S & BOYS' CUT & SEW SHIRT(EXCPT WORK SHRT)MANU
2394,AWNING & TENT MAKERS,LGB,5,,314912,CANVAS & RELATED PRODUCT MILLS
2399,FABRICATED TEXTILES-MISC,LGB,5,,314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS
2421,LUMBER MANUFACTURER,LGB,4,,321113,SAWMILLS
2431,"MANTELS,MANUFACTURER/DEALERS",LGB,4,,321918,OTHER MILLWORK (INCLUDING FLOORING)
2449,BARREL/DRUM/PALLET MFG/DEALER,LGB,4,,321920,WOOD CONTAINER & PALLET MANUFACTURING
2499,WOOD PRODUCTS -NOT CLASSIFIED,LGB,4,,321999,ALL OTHER MISC WOOD PRODUCT MANUFACTURING
2511,FURNITURE/FIXTURES-MANUFACT,LGB,4,,337122,NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUF
2515,MATTRESS MAKERS,LGB,4,,337910,MATTRESS MANUFACTURING
2542,OFFICE/STORE FIXTURES MFG,LGB,4,,337215,"SHOWCASE, PARTITION, SHELVING & LOCKER MANUFACTUR"
2591,"VENETIAN BLIND, MANFACTURING",LGB,4,,337920,BLIND & SHADE MANUFACTURING
2599,"CABINET SHOPS,MANUFACTURING",LGB,4,,337127,INSTITUTIONAL FURNITURE MANUFACTURING
2621,PAPER MILLS & ALLIED PRODUCTS,LGB,6,,322121,PAPER (EXCEPT NEWSPRINT) MILLS
2652,BOX MANUFACTURING,LGB,6,,322213,SETUP PAPERBOARD BOX MANUFACTUING
2711,NEWSPAPER PUBLISHER/PRINTER,LGB,6,,511110,NEWSPAPER PUBLISHERS
2731,BOOK & MAGAZINES-PUBLISH/PRINT,LGB,6,,511130,BOOK PUBLISHERS
2741,PUBLISHING - MISCELLANEOUS,LGB,6,,511199,ALL OTHER PUBLISHERS
2759,COMMERCIAL PRINTING,LGB,6,,323119,OTHER COMMERCIAL PRINTING
2789,BOOKBINDERS,LGB,6,,323121,TRADEBINDING & RELATED WORK
2791,TYPESETTING,LGB,6,,323122,PREPRESS SERVICES
2819,FERTILIZER FACTORY,LGB,7,,325188,ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING
2833,CHEMICAL & ALLIED PRODUCTS,LGB,7,,325411,MEDICINAL & BOTANICAL MANUFACTURING
2834,"MEDICINE, MANUFACTURING",LGB,7,,325412,PHARMACEUTICAL PREPARATION MANUFACTURING
2841,"SOAP, MANUFACTURING",LGB,7,,325611,SOAP & OTHER DETERGENT MANUFACTURING
2844,"COSMETICS, MANUFACTURER",LGB,7,,325620,TOILET PREPARATION MANUFACTURING
2851,PAINT MANUFACTURER,LGB,7,,325510,PAINT & COATING MANUFACTURING
2911,PETROLEUM REFINING & RELATED,LGB,6,,324110,PETROLEUM REFINERIES
3011,RUBBER & MISCELLANEOUS PRODUCT,LGB,5,,326211,TIRE MANUFACTURING (EXCEPT RETREADING)
3161,TRUNKS MANUFACTURER,LGB,5,,316991,LUGGAGE MANUFACTURING
3172,LEATHER & LEATHER PRODUCTS,LGB,5,,316993,PERSONL LEATHER GOOD(EXCPT WOMEN'S HNDBG&PRS)MAN
3211,GLASS MFG/LAMINATING,LGB,6,,327211,FLAT GLASS MANUFACTURING
3241,CEMENT MANUFACTURER,LGB,6,,327310,CEMENT MANUFACTURING
3251,"CLAY,STONE & GLASS PRODUCTS",LGB,6,,327121,BRICK & STRUCTURAL CLAY TILE MANUFACTURING
3253,TILING MANUFACTURERS,LGB,6,,327122,CERAMIC WALL & FLOOR TILE MANUFACTURING
3272,BURIAL VAULTS,LGB,6,,327390,OTHER CONCRETE PRODUCT MANUFACTURING
3273,"CONCRETE,MANUFACTURER (MIXED)",LGB,6,,327320,READY-MIX CONCRETE MANUFACTURING
3281,"MARBLE BUILDING, CUT & SHAPE",LGB,6,,327991,CUT STONE & STONE PRODUCT MANUFACTURING
3295,ROCK QUARRIES,LGB,6,,327992,GROUND OR TREATED MINERAL & EARTH MANUFACTURING
3299,STATUARY MANUFACTURER,LGB,6,,327999,ALL OTHER MISC NONMETALLIC MINERAL PRODUCT MANUF
3322,FOUNDRIES,LGB,4,,331511,IRON FOUNDRIES
3399,"METAL PRODUCTS, NOT CLASSIFIED",LGB,4,,331492,"SECNDARY SMELTING,REFINING & ALLYING OF NONFERR ME"
3442,SCREEN/DOOR/WINDOW MGG,LGB,5,,332321,METAL WINDOW & DOOR MANUFACTURING
3444,"ROOFING, MANUFACTURERS",LGB,5,,332332,SHEET METAL WORK MANUFACTURING
3479,ENGRAVING,LGB,5,,332812,"METAL COAT,ENGRVING(EXCPT JWLRY&SLVRWR)& ALLD S MA"
3499,"METAL PRODUCTS, MANUFACTURING",LGB,5,,332999,ALL OTHER MISC FABRICATED METAL PRODUCT MANUFACTUR
3531,MACHINERY & EQUIPMENT MFG,LGB,7,,333120,CONSTRUCTION MACHINERY MANUFACTURING
3564,"BLOWERS & BLOWER SYSTEMS,",LGB,7,,333412,INDUSTRIAL & COMMERCIAL FAN & BLOWER MANUF
3589,WATER PURIFICATION (HOUSE),LGB,7,,333319,OTHER COMMERICAL & SERVICE INDUSTRY MACHINERY MANU
3599,"MACHINE SHOPS,JOBBING/REPAIR",LGB,7,,332710,MACHINE SHOPS
3621,ELECTRICAL MACHINERY SUPPLIES,LGB,6,,335312,MOTOR & GENERATOR MANUFACTURING
3631,"STOVES, MANUFACTURER",LGB,6,,335221,HOUSEHOLD COOKING APPLICANCE MANUFACTURING
3669,COMMUNICATION EQUIP SALES,LGB,6,,334290,OTHER COMMUNICATION EQUIPMENT MANUFACTURING
3691,"BATTERIES, MANUFACTURER",LGB,6,,335911,STORAGE BATTERY MANUFACTURING
3699,ELECTRICAL MACHINERY-NOT CLASS,LGB,6,,335999,ALL OTHER MISC ELECTRCL EQUIP & COMPONENT MANUF
3711,TRANSPORTATION EQUIPMENT,LGB,3,,336211,MOTOR VEHICLE BODY MANUFACTURING
3714,MOTOR VEH. PARTS & ACCESSORIES,LGB,3,,336399,ALL OTHER MOTOR VEHICLE PARTS MANUFACTURING
3842,RESPIRATORY EQUIP SALE/SERVICE,LGB,7,,339113,SURGICAL APPLIANCE & SUPPLIES MANUFACTURING
3899,PHOTO/CLOCK/MED EQUIP MFG,LGB,7,,333315,PHOTOGRAPHIC & PHOTOCOPYING EQUIPMENT MANUF
3952,"FRAMERS, ART SUPPLIES",LGB,6,,339942,LEAD PENCIL & ART GOOD MANUFACTURING
3953,"RUBBER STAMPS, STENCIL CUTTING",LGB,6,,339943,MARKING DEVICE MANUFACTURING
3999,MANUFACTURING NOT CLASSIFIED,LGB,6,,339999,ALL OTHER MISCELLANEOUS MANUFACTURING
4111,BUS & MOTOR COACH COMPANY,LGB,3,,485111,MIXED MODE TRANSIT SYSTEMS
4119,AMBULANCE/ROAD SVC,LGB,3,,621910,AMBULANCE SERVICES
4120,LIMOUSINE SERVICE,LGB,3,,485320,LIMOUSINE SERVICE
4121,TAXI-CABS,LGB,3,,485310,TAXI SERVICE
4171,BUS TERMINALS,LGB,3,,488490,TERMINL & SRVC FACILITIES FOR MOTOR VEH PASS TRANS
4212,TRUCKING/COURIER-EXCEPT RENTAL,LGB,3,,484220,"SPECIALIZED FREIGHT(EXCPT USED GOODS)TRUCKNG, LOCA"
4213,DRAYAGE LOCAL,LGB,3,,484121,"GEN FREIGHT TRUCKING, LONG DISTANCE, TRUCKLOAD"
4214,"MOVERS,LOCAL TRUKING & STORAGE",LGB,3,,484210,USED HOUSEHOLD & OFFICE GOODS MOVING
4221,GRAIN ELEVATORS,LGB,3,,493130,FARM PRODUCT WAREHOUSING & STORAGE
4222,COLD STORAGE WAREHOUSE,LGB,3,,493120,REFRIGERATED WAREHOUSING & STORAGE
4225,STORAGE/WAREHOUSING,LGB,3,,493110,GENERAL WAREHOUSING & STORAGE
4724,TRAVEL AGENCIES,LGB,3,,561510,TRAVEL AGENCIES
4731,TRANSPORTATION/SHIPPING BROKER,LGB,3,,488510,FREIGHT TRANSPORTATION ARRANGEMENT
4741,RENTAL OF RAILROAD CARS,LGB,3,,532411,"COMMERCIAL AIR, RAIL & WATER TRANS EQUIP RNTL & LE"
4789,TRANSPORTATION SVCS-MISC,LGB,3,,487110,"SCENIC & SIGHTSEEING TRANSPORTATION, LAND"
4821,"TELEGRAPH,SERVICE/SIGNAL/AGENT",LGB,7,,517110,WIRED TELECOMMUNICATIONS CARRIERS
4833,"TELEVISION, BROADCAST STATION",LGB,7,,515120,TELEVISION BROADCASTING
4841,"TELEVISION, CLOSED CIRCUIT",LGB,7,,515210,CABLE & OTHER SUBSCRIPTION PROGRAMMING
4899,COMMUNICATION SVCS-MISC,LGB,7,,517410,SATELLITE TELECOMMUNICATIONS
4911,"ELEC,GAS, & SANITARY SERVICES",LGB,7,,221121,ELECTRIC BULK POWER TRANSMISSION & CONTROL
4953,GARBAGE COLLECTING & DISPOSAL,LGB,7,,562211,HAZARDOUS WASTE TREATMENT & DISPOSAL
4954,LANDFILLS,LGB,7,,562212,SOLID WASTE LANDFILL
4959,SANITARY SVCS-NOT CLASSIFIED,LGB,7,,562998,ALL OTHER MISC WASTE MANAGEMENT SERCVICES
5013,"AUTOMOBILE PARTS, WHOLESALE",LGB,2,,423120,MOTOR VEHICLE SUPPLIES & NEW PARTS MERCH WHLSLRS
5021,"FURNITURE, WHOLESALE",LGB,2,,423210,FURNITURE MERCHANT WHOLESALERS
5023,"FLOOR COVERING, WHOLESALE",LGB,2,,423220,HOME FURNISHNG MERCHANT WHOLERSALERS
5031,"BUILDING MATERIALS, WHOLESALE",LGB,2,,423310,"LUMBER,PLYWD,MILLWORK & WOOD PANEL MERCH WHLSLRS"
5032,"CONCRETE MARBLE,GRANITE WHOLE",LGB,2,,423320,"BRICK, STONE & RELATED CONSTRUC MAT MERCH WHLSLRS"
5033,"ROOFING, WHOLESALE",LGB,2,,423330,"ROOFING, SIDING & INSULATION MATERIAL MERCH WHLSLR"
5040,"CAMERA & SUPPLIES, WHOLESALE",LGB,2,,423410,PHOTOGRAPHIC EQUIP & SUPPLIES MERCH WHOLESALERS
5041,"SPORTING GOODS, WS (NO PERMIT)",LGB,2,,423910,SPORTING & RECREATIONAL GOODS & SUPPLIES MERC WHLS
5042,"TOYS & HOBBY GOODS, WHOLESALE",LGB,2,,423920,TOY & HOBBY GOODS & SUPPLIES MERCH WHOLESALERS
5043,"PHOTO SUPPLY STORES, WHOLESALE",LGB,2,,423410,PHOTOGRAPHIC EQUIP & SUPPLIES MERCHANT WHOLESALERS
5047,MEDICAL/HOSP EQUIP-WHOLESALE,LGB,2,,423450,"MEDICAL,DNTL & HOSPITAL EQUIP & SUPPLIES MERCH WHL"
5051,"METAL JOBBERS, WHOLESALE",LGB,2,,423510,METAL SERVICE CNTRS & OTHR METAL MERCH WHOLESALERS
5052,"COAL, WHOLESALE",LGB,2,,423520,COAL & OTHER MINERAL & ORE MERCH WHOLESALERS
5063,"ELECTRIC LIGHT BULBS,WHOLESALE",LGB,2,,423610,"ELECTRCL  APPARA & EQUIP,WIRI SUPPL & REL EQUIP WH"
5064,ELECTRICAL APPLIANCES/SUPPLIES,LGB,2,,423620,"ELECTRCL & ELECTRNIC APPLS,TV & RADIO SET MERC WHL"
5072,"LAWNMOWER, WHOLESALE",LGB,2,,423710,HARDWARE MERCHANT WHOLESALERS
5074,"PLUMB/HEAT SUPPLIES, WHOLSALE",LGB,2,,423720,PLUMBING & HEATING EQUIP & SUPPLIES(HYDRONICS) MER
5078,"BEVERAGE COOLERS, WHOLSALE",LGB,2,,423740,REFRIGERATION EQUIP & SUPPLIES MERCH WHOLESALERS
5081,"COMMERCIAL MACHINE/EQUIP,WHOLE",LGB,2,,423440,OTHER COMMERICAL EQUIPMENT MERCHANT WHLSLERS
5083,"DAIRY SUPPLIES, WHOLESALE",LGB,2,,423820,FARM & GARDEN MACHINERY & EQUIP MERCH WHLSLRS
5084,INDUSTRIAL MACHINE/EQUIPMENT,LGB,2,,423830,INDUSTRIAL MACHINERY & EQUIPMENT MERCH WHOLESALERS
5085,"INDUSTRIAL SUPPLIES,WHOLESALE",LGB,2,,423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS
5086,"PROFESSIONAL EQUIP/SUPPLY,WHOL",LGB,2,,423490,OTHER PROFESSIONAL EQUIPMENT & SUPPL MERCH WHLESLR
5087,"SERVICE EQUIP/SUPPLY,WHOLESALE",LGB,2,,423850,SERVICE ESTABLISHMENT EQUIP & SUPPLIES MERCH WHLSL
5090,"JEWELRY, WHOLESALE",LGB,2,,423940,"JEWELRY,WATCH,PRECIOUS STNE & PREC METAL MERCH WHL"
5091,"SPORTING GOODS, WS (GUN SALES)",LGB,2,,423910,SPORTING & RECREATIONAL GOODS & SUPPLIES MERC WHLS
5092,TOYS AND HOBBY GOODS WHOLESALE,LGB,2,,423920,TOY & HOBBY GOODS & SUPPLIES MERCH WHOLESALERS
5093,RECYCLING-METAL(WASTE & SCRAP),LGB,2,,423930,RECYCLABLE MATERIAL MERCHANT WHOLESALERS
5094,PRECIOUS METALS,LGB,2,,423940,"JEWELRY,WATCH,PRECIOUS STNE & PREC METAL MERCH WHL"
5095,"WASTE MATERIALS, WHOLESALE",LGB,2,,423930,RECYCLABLE MATERIAL MERCHANT WHOLESALERS
5099,WHOLESALE NOT CLASSIFIED,LGB,2,,423990,OTHER MISC DURABLE GOODS MERCHANT WHOLESALERS
5111,"PAPER JOBBERS,DEALERS,AGENTS",LGB,2,,424110,PRINTING & WRITING PAPER MERCHANT WHOLESALERS
5113,"BAGS, BAGGING & TIES, DEALERS",LGB,2,,424130,INDUSTRIAL & PERSONAL SERVICE PAPER MERCH WHLSLRS
5122,"PRESCRIPTION/TOILETRIES,WHOLE",LGB,2,,424210,DRUGS & DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS
5133,"DRY GOODS,WHOLESALE",LGB,2,,424310,"PIECE GOODS, NOTIONS & OTHR DRY GOODS MERCH WHLSLR"
5136,"CLOTHING(MEN/BOYS), WHOLESALE",LGB,2,,424320,MEN'S & BOYS' CLOTHING & FURNISHINGS MERC WHLSLRS
5137,CLOTHING(WOMEN/CHILD)WHOLESALE,LGB,2,,424330,"WOMEN'S,CHILDRN'S & INFNTS' CLOTHING & ACCS WHLSR"
5139,"SHOES,WHOLESALE",LGB,2,,424340,FOOTWEAR MERCHANT WHOLESALERS
5141,"GROCERIES,WHOLESALE",LGB,2,,424410,GENERAL LINE GROCERY MERCHANT WHOLESALERS
5143,"DAIRY PRODUCTS,WHOLESALE",LGB,2,,424430,DIARY PRODUCTS (EXCPT DRIED OR CANNED) MERCH WHLSL
1531,OPERATIVE BUILDERS ON OWN ACCT,LGB,3,,236117,NEW HOUSING OPERATIVE BUILDERS
5145,"CANDY,WHOLESALE",LGB,2,,424450,CONFECTIONERY MERCHANT WHOLESALERS
5146,"FISH/SEAFOOD, WHOLESALE",LGB,2,,424460,FISH & SEAFOOD MERCHANT  WHOLESALERS
5147,MEAT/SEAFOOD FROM VEHICLES,LGB,2,,424470,MEAT & MEAT PRODUCT MERCHANT WHOLESALERS
5148,"FRUIT & PRODUCE, WHOLESALE",LGB,2,,424480,FRESH FRUIT & VEGETABLE MERCHANT WHOLESALERS
5149,GROCERIES & RELATED PRODUCTS,LGB,2,,424490,OTHER GROCERY & RELATED PRODUCTS MERCH WHOLESALERS
5152,"COTTON BROKERS, AGENTS",LGB,2,,424590,OTHER FARM PRODUCT RAW MATERIAL MERCH WHLSLRS
5153,"GRAIN, DEALERS, WHOLESALE",LGB,2,,424510,GRAIN & FIELD BEAN MERCHANT WHOLESALERS
5161,"INDUSTRIAL CHEMICALS,WHOLESALE",LGB,2,,424690,OTHER CHEMICAL & ALLIED PRODUCTS MERCH WHOLESALERS
5172,"GASOLINE, WHOLESALE",LGB,2,,424720,PETRO & PETRO PRODCTS M/WHLS(EXCPT BULK STAT & TE)
5191,"FERTILIZER, WHOLESALE",LGB,2,,424910,FARM SUPPLIES MERCHANT WHOLESALERS
5194,"CIGARETTES/TOBACCO, WHOLESALE",LGB,2,,424940,TOBACCO & TOBACCO PRODUCT MERCHANT WHOLESALERS
5198,"PAINT/WALL PAPER, WHOLESALE",LGB,2,,424950,"PAINT, VARNISH & SUPPLIES MERCHANT WHOLESALERS"
5199,"MISCELLANEOUS,NON-DURABLE GOOD",LGB,2,,424990,OTHER MISC NONDURABLE GOODS MERCHANT WHOLESALERS
5211,BUILDING MATERIALS-SUPPLIES,LGB,3,,441900,THER BUILDING MATERIAL DEALERS
5231,"GLASS/PAINT/WALL PAPER, RETAIL",LGB,3,,444120,PAINT & WALLPAPER STORES
5251,"HARDWARE, RETAIL",LGB,3,,444130,HARDWARE STORES
5261,"GARDEN SUPPLIES & TOOLS,RETAIL",LGB,3,,444220,"NURSERY,GARDEN CENTER & FARM SUPPLY STORES"
5271,"MOBILE HOMES, RETAIL",LGB,3,,453930,MANUFACTURED (MOBILE) HOME DEALERS
5311,DEPARTMENT STORES,LGB,4,,452111,DEPARTMENT STORES (EXCPT DISCOUNT DEPRTMNT STORES)
5331,VARIETY STORES,LGB,4,,452990,ALL OTHER GENERAL MERCHANDISE STORES
5399,"GENERAL MERCHANDISE, RETAIL",LGB,4,,452990,ALL OTHER GENERAL MERCHANDISE STORES
