sic,sic_desc,license_code,license_class,tax_type,naics_code,naics_desc
5411,"GROCERS, RETAIL",LGB,2,,445110,SUPERMARKETS & OTHR GROCERY (EXCEPT CONVEN) STORES
5412,SNACK SHOPS,LGB,2,,722213,SNACK & NONALCOHOLIC BEVERAGE BARS
5423,"MEAT/SEAFOOD MARKETS,RETAIL",LGB,2,,445220,FISH & SEAFOOD MARKETS
5431,"FRUIT & PRODUCE,RETAIL",LGB,2,,445230,FRUIT & VEGETABLE MARKETS
5441,"CANDY & NUT, RETAIL",LGB,2,,445292,CONFECTIONERY & NUT STORES
5451,"MILK, RETAIL",LGB,2,,445299,ALL OTHER SPECIALTY  FOOD STORES
5461,"BAKERY STORES, W/R SALES ONLY",LGB,2,,311811,RETAIL BAKERIES
5499,"COFFEE OR TEA STORES, RETAIL",LGB,2,,445299,ALL OTHER SPECIALTY FOOD STORES
5511,"AUTOMOBILE DEALERS, NEW RETAIL",LGB,1,,441110,NEW CAR DEALERS
5531,AUTO/HOME SUPPLY STORE-RETAIL,LGB,1,,441310,AUTOMOTIVE PARTS & ACCESSORIES STORES
5541,GASOLINE SERVICE STATION,LGB,1,,447190,OTHER GASOLINE STATIONS
5551,"BOAT SUPPLY/ACCESSORY,RETAIL",LGB,1,,441222,BOAT DEALERS
5571,"MOTORCYCLES,DEALERS/AGENTS",LGB,1,,441221,MOTORCYCLE DEALERS
5599,VEHICLE DEALERS (EXCEPT AUTO),LGB,1,,441229,ALL OTHER MOTOR VEHICLE DEALERS
5611,"HATS, RETAIL",LGB,4,,448110,MEN'S CLOTHING STORES
5621,BRIDAL SHOPS,LGB,4,,448120,WOMEN'S CLOTHING STORES
5631,RETAIL TRADE-APPAREL/ACCESSORY,LGB,4,,448150,CLOTHING ACCESSORIES STORES
5651,"DRY GOODS, RETAIL",LGB,4,,448140,FAMILY CLOTHING STORES
5652,"WOODENWARE, DEALERS/RETAIL",LGB,4,,448150,CLOTHING ACCESSORIES STORES
5661,"SHOE, DEALERS/RETAIL",LGB,4,,448210,SHOE STORES
5681,"FUR, CLOTHING RETAIL",LGB,4,,448190,OTHER CLOTHING STORES
5699,SPECIALIZED APPAREL/ACCESSORY,LGB,4,,448190,OTHER CLOTHING STORES
5712,"HOME FURNISHING/EQUIP, RETAIL",LGB,3,,442110,FURNITURE STORES
5713,"FLOOR COVERING, RETAIL",LGB,3,,442210,FLOOR COVERING STORES
5719,"HOME FURNISHING STORES,RETAIL",LGB,3,,442299,ALL OTHER HOME FURNISHINGS STORES
5722,"APPLIANCES-HOUSEHOLD, RETAIL",LGB,3,,443111,HOUSEHOLD APPLICANCE STORES
5732,"TAPE RECORDERS, RETAIL",LGB,3,,443112,"RADIO, TELEVISION & OTHER ELECTRONICS STORES"
5733,"MUSIC/INSTRUMENTS, RETAIL",LGB,3,,451140,MUSICAL INSTRUMENT AND SUPPLIES STORES
5812,RESTAURANTS,LGB,4,,722110,FULL-SERVICE RESTAURANTS
5813,NIGHT CLUB,LGB,4,,722410,DRINKING PLACES (ALCOHOLIC BEVERAGES)
5814,CATERERS,LGB,4,,722320,CATERERS
5815,"SANDWICHES(PREPACKAGED),RETAIL",LGB,4,,722213,SNACK & NONALCOHOLIC BEVERAGE BARS
5816,FAST FOOD RESTAURANT,LGB,4,,722211,LIMITED-SERVICE RESTAURANTS
5912,"DRUG STORE, RETAIL",LGB,3,,446110,PHARMACIES &  DRUG STORES
5930,"PAWN BROKERS, ALL TYPES/CLASS",LGB,3,,522298,ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION
5931,SECOND-HAND GOODS OF ANY DESC,LGB,3,,453310,USED MERCHANDISE STORES
5940,FIREARM SALES,LGB,3,,451110,SPORTING GOODS STORES
5941,"SPORTING GOODS, RETL NO PERMIT",LGB,3,,451110,SPORTING GOODS STORES
5942,"BOOK STORE, RETAIL",LGB,3,,451211,BOOK STORES
5943,"STATIONERY, INCLUDING BOOKS",LGB,3,,453210,OFFICE SUPPLIES & STATIONERY STORES
5944,"JEWELRY, RETAIL",LGB,3,,448310,JEWELRY STORES
5945,"TOYS, RETAIL",LGB,3,,451120,"HOBBY, TOY & GAME STORES"
5946,"CAMERA & PHOTO SUPPLIES,RETAIL",LGB,3,,443130,CAMERA & PHOTOGRAPHIC  SUPPPLIES STORES
5947,GIFT SHOP,LGB,3,,453220,"GIFT, NOVELTY & SOUVENIR STORES"
5948,"LUGGAGE & LEATHER GOODS,RETAIL",LGB,3,,448320,LUGGAGE & LEATHER GOODS STORES
5949,"SEWING SUPPLIES,RETAIL",LGB,3,,451130,"SEWING, NEEDLEWORK & PIECE  GOOD STORES"
5950,SPORTING GOODS RETL GUN SALES,LGB,3,,451110,SPORTING GOODS STORES
5961,MAIL ORDER BUSINESS,LGB,3,,454113,MAIL-ORDER HOUSES
5962,"VENDING MACHINES, SALE OF PROD",LGB,3,,454210,VENDING MACHINE OPERATORS
5963,CANVASSERS,LGB,3,,722330,MOBILE FOOD SERVICES
5982,"FUEL & ICE DEALERS, RETAIL",LGB,3,,454319,OTHER FUEL DEALERS
5984,"GAS,LIQUID PETROLEUM/SUPPLY",LGB,3,,454312,LIQUEFIED PETROLEUM GAS(BOTTLED GAS) DEALERS
5992,"FLORIST, RETAIL",LGB,3,,453110,FLORISTS
5993,"CIGAR STORE & STANDS, RETAIL",LGB,3,,453991,TOBACCO STORES
5994,NEWSSTAND,LGB,3,,451212,NEWS DEALERS AND NEWSSTANDS
5999,MISCELLANEOUS RETAIL STORES,LGB,3,,453998,ALL OTHER MISC STORE RETAILERS(EXCEPT TOBACCO STOR
6021,NATIONAL COMMERCIAL BANKS,LGB,8,,522110,COMMERCIAL BANKING
6052,"BANKS, FOREIGN",LGB,8,,522110,BANKS
6099,CHECK CASHERS,LGB,8,,522390,OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION
6120,SAVINGS & LOAN ASSOCIATIONS,LGB,8,,522120,SAVINGS INSTITUTIONS
6145,FINANCE COMPANIES(SMALL LOANS),LGB,8,,522291,CONSUMER LENDING
6146,"MONEY LENDERS,PERSON/FIRM/CORP",LGB,8,,522291,CONSUMER LENDING
6153,"CREDIT INSTITUTIONS,SHORT TERM",LGB,8,,522210,CREDIT CARD ISSUING
6159,CREDIT INSTITUTIONS-MISCELLANE,LGB,8,,522220,SALES FINANCING
6163,"BROKERS, MISCELLANEOUS",LGB,8,,522310,MORTGAGE & NONMORTGAGE LOAN BROKERS
6211,SECURITY & COMMODITY BROKERS,LGB,7,,523110,INVESTMENT BANKING & SECURITIES DEALING
6231,SECURITY/COMMODITY EXCHANGE,LGB,7,,523210,SECURITIES & COMMODITY EXCHANGE
6281,CONSULTANT/COUNSELOR/FINANCE,LGB,7,,523999,MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES
6411,INSURANCE SERVICES/ADJUSTOR,LGB,7,,524298,ALL OTHER INSURANCE RELATED ACTIVITIES
6512,"BALLROOM, LEASE/RENT PARTIES",LGB,7,,531120,LESSORS OF NON-RESDENTIAL BLDGS(EXCPT MINIWRHOUSE)
6513,APARTMENT BUILD/COMPLEX RENTAL,LGB,7,,531110,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS
6515,MOBILE HOME PARK,LGB,7,,531190,LESSORS OF OTHER REAL ESTATE PROPERTY
6531,REAL ESTATE AGENTS,LGB,7,,531210,OFFICES OF REAL ESTATE AGENTS & BROKERS
6541,LAND TITLE/WARRANTY COMPANY,LGB,7,,541191,TITLE ABSTRACT & SETTLEMENT OFFICES
6553,CEMETERY COMPANY/AGENT/DEALER,LGB,7,,812220,CEMETARIES & CREMATORIES
6711,HOLDING COMPANIES,LGB,8,,551112,OFFICES OF OTHER HOLDING COMPANIES
6712,BANK HOLDING COMPANY,LGB,8,,551111,OFFICES OF BANK HOLDING COMPANIES
6794,FRANCHISING/PATENT OWNERS,LGB,8,,533110,LESSORS OF NONFINNCIAL INTNGBL ASSETS(EXCPT COPYR)
6799,TAX FINANCING,LGB,8,,523910,MISCELLANEOUS INTERMEDIATION
7011,HOTEL/MOTEL,LGB,4,THM,721110,HOTELS (EXCEPT CASINO HOTELS) & MOTELS
7021,BOARDING/LODGING/ROOMING HOUSE,LGB,4,,721310,ROOMING & BOARDING HOUSES
7022,BOARD/LODGE/ROOM NO PERMIT RQD,LGB,4,,721310,ROOMING & BOARDING HOUSES
7033,"TRAILER PARKS,SHORT TERM SITES",LGB,4,,721211,RV(RECREATIONAL VEHICLE) PARKS AND CAMPGROUNDS
7211,"LAUNDRIES,HAND/AUTOMATIC MACH",LGB,5,,812320,DRYCLEANING & LAUNDRY SRVCS (EXCEPT COIN-OPERATED)
7212,DRY CLEANING & ALTERATIONS,LGB,5,,812320,DRYCLEANING & LAUNDRY SRVCS (EXCEPT COIN-OPERATED)
7213,LINEN SERVICES,LGB,5,,812331,LINEN SUPPLY
7215,"DRYING CLEANING, COIN OPERATED",LGB,5,,812310,COIN-OPERATED LAUNDRIES & DRYCLEANERS
7216,"DRY CLEANING, RETAIL",LGB,5,,812320,DRYCLEANING & LAUNDRY SRVCS (EXCEPT COIN-OPERATED)
7217,RUG CLEANING COMPANY,LGB,5,,561740,CARPET & UPHOLSTERY CLEANING SERVICE
7219,"ALTERATIONS, CLOTHING",LGB,5,,811490,OTHER PERSONAL & HOUSELHOLD GOODS REPAIR & MAINTE
7221,PHOTOS OTHER THAN COMMERCIAL,LGB,5,,541921,"PHOTOGRAPHY STUDIOS, PORTRAIT"
7223,ESCORT SERVICES,LGB,5,,812990,ALL OTHER PERSONAL SERVICES
7225,MASSAGE/TATOO PARLOR/ARTIST,LGB,5,,812199,OTHER PERSONAL CARE SERVICES
7231,BEAUTY SHOPS/SCHOOLS,LGB,5,,812112,BEAUTY SALONS
7241,BARBER SHOPS/SCHOOLS,LGB,5,,812111,BARBER SHOPS
7251,SHOE REPAIR & HATCLEANING SHOP,LGB,5,,811430,FOOTWEAR & LEATHER GOODS REPAIR
7261,FUNERAL ESTABLISHMENTS,LGB,5,,812210,FUNERAL HOMES & FUNERAL SERVICES
7299,PERSONAL SERVICES-MISC,LGB,5,,812990,ALL OTHER PERSONAL SERVICES
7311,ADVERTISING AGENT/COUNSELORS,LGB,5,,541810,ADVERTISING AGENCIES
7312,BILLBOARD (ERECTION/LEASE),LGB,5,,541850,DISPLAY ADVERTISING
7319,BILL DISTRIBUTORS,LGB,5,,541870,ADVERTISING MATERIAL DISTRIBUTION SERVICES
7321,COLLECTION & CLAIM AGENCY,LGB,5,,561440,COLLECTION AGENCIES
7323,CREDIT REPORTING AGENCY,LGB,5,,561450,CREDIT BUREAUS
7331,MAILING SERVICE,LGB,5,,541860,DIRECT MAIL ADVERTISING
7332,BLUEPRINTING/DUPLICATING SVCS,LGB,5,,561439,OTHER BUSINESS SRVCE CENTERS (INCLUDING COPY SHOPS
7333,ART/PHOTOGRAPHY COMMERCIAL,LGB,5,,541430,GRAPHIC DESIGN SERVICES
7336,GRAPHIC DESIGNS,LGB,5,,541430,GRAPHIC DESIGN SERVICES
7339,TYPING/STENO/SECRETARIAL SVCS,LGB,5,,561410,DOCUMENT PREPARATION SERVICES
7342,EXTERMINATORS,LGB,5,,561710,EXTERMINATING & PEST CONTROL SERVICES
7349,JANITOR OR HOUSEKEEPING SVCS,LGB,5,,561720,JANITORIAL SERVICES
7359,RENTAL/LEASING EQUIPMENT,LGB,5,,532490,OTHER COMMRCL & INDUS MACHINERY & EQUIP REN & LEAS
7361,EMPLOYMENT AGENCIES,LGB,5,,561311,EMPLOYMENT PLACEMENT AGENCIES
7362,TEMPORARY EMPLOYMENT AGENCIES,LGB,5,,561320,TEMPORARY HELP SERVICES
7372,DATA PROC SOFTWARE MFG/SALES,LGB,5,,511210,SOFTWARE PUBLISHERS
7374,DATA PROCESSING SVCS & EQUIPMT,LGB,5,,518210,"DATA PROCESSING,HOSTING & RELATED SERVICES"
7379,DATA PROCESSING SYSTEMS,LGB,5,,541512,COMPUTER SYSTEMS DESIGN SERVICES
7380,DETECTIVE/SECURITY AGENCIES,LGB,5,,561611,INVESTIGATION SERVICES
7381,GUARD & ARMORED CAR SERVICE,LGB,5,,561612,SECURITY GUARDS & PATROL SERVICES
7385,AUCTIONEERS,LGB,5,,561990,ALL OTHER SUPPORT SERVICES
7386,BONDSMEN,LGB,5,,812990,ALL OTHER PERSONAL SERVICES
7387,HANDWRITING ANALYSIS,LGB,5,,541990,"ALL OTHER PROFESSIONL, SCIENTIFIC & TECHINAL SRVCS"
7389,MISC BUSINESS SERVICE,LGB,5,,561990,ALL OTHER SUPPORT SERVICES
7390,INTERIOR DESIGN,LGB,5,,541410,INTERIOR DESIGN SERVICES
7391,*,LGB,5,,0,
7392,SOLICITORS,LGB,5,,561499,ALL OTHER BUSINESS SUPPORT SERVICES
7393,PROTECTIVE SERVICES,LGB,5,,561612,SECURITY GUARDS & PATROL SERVICES
7394,LEASED EQUIPMENT,LGB,5,,532490,OTHER COMMRCL & INDSTRL MACHINERY & EQUIP RNTL & L
7395,PHOTO DEVELOPING & RETOUCHING,LGB,5,,812921,PHOTOFINISHING LABORATORIES (EXCEPT ONE-HOUR)
7396,"TRADING STAMPS,DEALER/COMPANY",LGB,5,,561990,ALL OTHER SUPPORT SERVICES
7397,*,LGB,5,,0,
7398,TELECOMMUNICATIONS,LGB,5,,517919,ALL OTHER TELECOMMUNICATIONS
7512,"AUTOMOBILE, RENTAL/LEASING",LGB,4,TCR,532111,PASSENGER CAR RENTAL
7519,TRAILERS & TRUCKS FOR HIRE,LGB,4,,532120,"TRUCK,UTILITY TRAILER & RV RENTAL & LEASING"
7523,PARKING LOTS & GARAGES,LGB,4,,812930,PARKING LOTS & GARAGES
7531,AUTOMOBILE BODY & PAINT SHOP,LGB,4,,811121,"AUTO BODY, PAINT & INTERIOR REPAIR & MAINTENANCE"
7534,"AUTOMOBILE TIRES, RECAPPING",LGB,4,,326212,TIRE RETREADING
7536,GLASS REPLACE & REPAIR AUTO,LGB,4,,811122,AUTOMOTIVE GLASS REPLACEMENT SHOPS
7012,BED & BREAKFAST,LGB,4,THM,721191,BED & BREAKFAST INNS
5521,"AUTOMOBILE DEALERS,USED RETAIL",LGB,1,,441120,USED CAR DEALERS
7538,"AUTO REPAIR,OVERHAUL & GENERAL",LGB,4,,811111,GENERAL AUTOMOTIVE REPAIR
7542,CAR WASH/DETAILING,LGB,4,,811192,CAR WASHES
7549,TOWING & WRECKER SERVICE,LGB,4,,488410,MOTOR VEHICLE TOWING
7550,EMISSIONS SERVICE,LGB,4,,811198,ALL OTHER AUTOMOTIVE  REPAIR & MAINTENANCE
7622,TELEVISION REPAIR,LGB,5,,811211,CONSUMER ELECTONICS REPAIR & MAINTENANCE
7623,AIR CONDITION SERVICE & REPAIR,LGB,5,,811412,APPLIANCE REPAIR & MAINTENANCE
7629,ELECTRONIC REPAIR-NOT COMPUTER,LGB,5,,811412,APPLIANCE REPAIR & MAINTENANCE
7631,"WATCH,CLOCK & JEWLERY REPAIR",LGB,5,,811490,OTHER PERSONAL & HOUSELHOLD GOODS REPAIR & MAINTE
7641,FURNITURE REPAIR & REUPHOLSTER,LGB,5,,811420,REUPHOLSTERY & FURNITURE REPAIR
7692,WELDING SHOP,LGB,5,,811310,CMMRCL & IND MCHNRY & EQUIP(EXCPT AUTO & ELEC)REPA
7694,ARMATURE REWINDING SHOPS,LGB,5,,811310,CMMRCL & IND MCHNRY & EQUIP(EXCPT AUTO & ELEC)REPA
7699,SPECIALIZED REPAIR SHOPS,LGB,5,,811310,CMMERCL & IND MCHNRY & EQUIP(EXCPT AUTO & ELEC)REP
7812,VIDEO/MOTION PIC/MUSIC PRODTNS,LGB,5,,512110,MOTION PICTURE & VIDEO PRODUCTION
7819,"FILM DEVELOPERS, PICTURES/TV",LGB,5,,512191,TELEPRODUCTION & OTHER POSTPR0DUCTION
7823,FILM/MOTION PICTURE DISTRIBUTR,LGB,5,,512120,MOTION PICTURE & VIDEO DISTRIBUTION
7829,FILM/MOTION PICTURE AGENT,LGB,5,,512199,OTHER MOTION PICTURE & VIDEO INDUSTRIES
7832,MOTION PIC THEATRE(NOT DRV-IN),LGB,5,,512131,MOTION PICTURE THEATERS (EXCEPT DRIVE-INS)
7833,DRIVE-IN THEATRE,LGB,5,,512132,DRIVE-IN MOTION PICTURE THEATERS
7841,VIDEO RENTALS,LGB,5,,532230,VIDEO TAPE & DISC RENTAL
7910,CARNIVALS,LGB,7,,713990,ALL OTHER AMUSEMENT & RECREATION INDUSTRIES
7911,AMUSEMENT & RECREATION SERVICE,LGB,7,,611610,FINE ARTS SCHOOLS
7913,DANCE HALLS,LGB,7,,713990,ALL OTHER AMUSEMENT & RECREATION INDUSTRIES
7914,DANCING ACADEMIES/SCHOOLS,LGB,7,,611610,FINE ARTS SCHOOLS
7922,AGENTS/THEATRICAL SVC,LGB,7,,711320,"PROMOTERS OF PRFRMNG ARTS, SPORTS & SIMILAR EVENTS"
7929,ENTERTAINMENT,LGB,7,,711130,MUSICAL GROUPS  & ARTISTS
7932,BILLIARD OR POOL HALL,LGB,7,,713990,ALL OTHER AMUSEMENT & RECREATION INDUSTRIES
7941,PROFESSIONAL SPORTS/PROMOTERS,LGB,7,,711410,"AGNTS & MANGRS FOR ARTISTS, ATHLETES, ENTERTAINERS"
7950,FORTUNE TELLER,LGB,7,,812990,ALL OTHER PERSONAL SERVICES
7951,"KARATE, GYMS, JUDO",LGB,7,,611620,SPORTS & RECREATION INSTRUCTION
7977,"FISH AQUARIUMS, RENTAL",LGB,7,,532292,RECREATIONAL GOODS RENTAL
7991,PHYSICAL FITNESS FACILITY/SPAS,LGB,7,,713940,FITNESS & RECREATIONAL SPORTS CENTERS
7992,GOLF COURSES-INCL MINIATURE,LGB,7,,713910,GOLF COURSES & COUNTRY CLUBS
7993,"AMUSEMENT MACH, COIN OPERATD",LGB,7,,713120,AMUSEMENT ARCADES
7996,AMUSEMENT PARKS,LGB,7,,713110,AMUSEMENT & THEME PARKS
7997,ATHLETIC CLUB (ADMISSION FEE),LGB,7,,713940,FITNESS & RECREATIONAL SPORTS CENTERS
7999,MISCELLANEOUS RECREATION SVCS,LGB,7,,713990,ALL OTHER AMUSEMENT & RECREATION INDUSTRIES
8011,MEDICAL DOCTOR OFFICE/CLINIC,LGB,4,,621111,OFFICES OF PHYSICIANS(EXCPT MNTL HEALTH SPECIALIS)
8021,DENTIST,LGB,4,,621210,OFFICES OF DENTISTS
8031,OSTEOPATH,LGB,4,,621111,OFFICES OF PHYSICIANS(EXCPT MNTL HEALTH SPECIALIS)
8041,CHIROPRACTOR,LGB,4,,621310,OFFICES OF CHIROPRACTORS
8042,OPTOMETRIST,LGB,4,,621320,OFFICES OF OPTOMETRISTS
8043,PODIATRIST,LGB,4,,621391,OFFICES OF PODIATRISTS
8048,MASSAGE THERAPIST/TECHNICIAN,LGB,4,,621399,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS
8049,"HYPNOTISTS, OFFICE",LGB,4,,621399,OFFICES OF ALL OTHER MISC HEALTH PRACTITIONERS
8050,NURSING SERVICE,LGB,4,,621610,HOME HEALTH CARE SERVICES
8051,NURSING HOME,LGB,4,,623110,NURSING CARE FACILITIES
8059,CONVALESCENT/PERSONAL CARE HME,LGB,4,,623110,NURSING CARE FACILITIES
8062,HOSPITAL SANITARIURMS & LIKE,LGB,4,,622110,GENERAL MEDICAL & SURGICAL HOSPITALS
8069,OBSTETRICAL SANITARIUMS,LGB,4,,622310,SPECIALTY(EXCPT PSYCHIATRIC & SUBSTANCE ABUSE)HOSP
8072,MEDICAL/DENTAL LABS,LGB,4,,339116,DENTAL LABORATORIES
8099,HEALTH SERVICES/OFFICES NEC,LGB,4,,621999,ALL OTHER MISC AMBULATORY HEALTH CARE SERVICES
8111,LEGAL SERVICES,LGB,6,,541110,OFFICES OF LAWYERS
8231,LIBRARIES,LGB,5,,519120,LIBRARIES & ARCHIVES
8241,"SCHOOL, CORRESPONDENCE",LGB,5,,611310,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS"
8244,EDUCATIONAL SERVICES & SCHOOLS,LGB,5,,611410,BUSINESS & SECRETARIAL SCHOOLS
8249,"SCHOOL, TRADE",LGB,5,,611519,OTHER TECHNICAL & TRADE SCHOOLS
8259,MODELING SCHOOL/AGENCY,LGB,5,,611519,OTHER TECHNICAL AND TRADE SCHOOLS
8299,SCHOOLS NOT CLASSIFIED,LGB,5,,611699,ALL OTHER MISC SCHOOLS & INSTRUCTION
8322,FAMILY SOCIAL SERVICES,LGB,4,,624190,OTHER INDIVIDUAL & FAMILY SERVICES
8351,"NURSERY, DAY",LGB,4,,624410,CHILD DAY CARE SERVICES
8399,"SOCIAL SERVICES, MISC",LGB,4,,813319,OTHER SOCIAL ADVOCACY ORGANIZATIONS
8641,BUSINESS/FRATERNAL ASSOCIATION,LGB,3,,813410,CIVIC & SOCIAL ORGANIZATIONS
8699,"MEMBERSHIP ORGANIZATIONS,MISC",LGB,3,,813990,"OTHER SIMILAR ORGANIZATIONS(EXCPT BUS, PROF,LABOR	"
8711,ENGINEERING SERVICES,LGB,6,,541330,ENGINEERING SERVICES
8712,ARCHITECTURAL SERVICES,LGB,6,,541310,ARCHITECTURAL SERVICES
8713,SURVEYING SERVICES,LGB,6,,541370,SURVEYING & MAPPING (EXCPT GEOPHYSICAL) SERVICES
8721,AUDITING/ACCOUNTING SERVICE,LGB,6,,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS
8732,MARKET RESEARCH,LGB,6,,541910,MARKETING RESEARCH & PUBLIC OPINION POLLING
8734,RESEARCH/DEVELOPMENT/TEST LABS,LGB,6,,541380,TESTING LABORATORIES
8741,MANAGEMENT/ADMIN SVC,LGB,6,,561110,OFFICE ADMINISTRATIVE SERVICES
8742,"CONSULTANT/MGMT,COUNSELOR,BUS",LGB,6,,541611,ADM MNGMNT & GEN MNGMNT CONSULTING SERVICES
8743,PUBLIC RELATIONS SVC,LGB,6,,541820,PUBLIC RELATIONS AGENCIES
8999,"BUSINESS SERVICES, NOT CLASS",LGB,6,,541690,OTHER SCIENTIFIC & TECHNICAL CONSULTING SERVICES
8112,ATTORNEY -GENERAL(LGB) ACCOUNT,LGB,6,,541110,OFFICES OF LAWYERS
5817,BAR,LGB,4,,722410,DRINKING PLACES (ALCOHOLIC BEVERAGES)
8082,HOME HEALTH CARE SERVICES,LGB,4,,621610,HOME HEALTH CARE SERVICES
7388,CONFERENCE CENTER,LGB,5,,561591,CONVENTION & VISITORS BUREAUS
